CÓD. DEP.;DEPARTAMENTO;CÓD MUN;MUNICIPIO;GRUPO DE CULTIVO;SUBGRUPO DE CULTIVO;CULTIVO;DESAGREGACIÓN REGIONAL Y/O SISTEMA PRODUCTIVO;CÓDIGO CULTIVO;NOMBRE CIENTIFICO;PERIODO;Área Sembrada(ha);Área Cosechada(ha);Producción(t);Rendimiento(t/ha);ESTADO FISICO PRODUCCION
5;ANTIOQUIA;5034;ANDES;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;10.38;7.6;9.888;1.3;PERGAMINO SECO
5;ANTIOQUIA;5101;CIUDAD BOLIVAR;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;10.063;7.4;11.439;1.6;PERGAMINO SECO
5;ANTIOQUIA;5642;SALGAR;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;7.857;5.9;11.057;1.9;PERGAMINO SECO
5;ANTIOQUIA;5209;CONCORDIA;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;6.88;5.3;9.896;1.9;PERGAMINO SECO
5;ANTIOQUIA;5091;BETANIA;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;6.445;4.7;7.368;1.6;PERGAMINO SECO
5;ANTIOQUIA;5093;BETULIA;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;5.734;4.2;6.562;1.6;PERGAMINO SECO
5;ANTIOQUIA;5002;ABEJORRAL;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;3.149;2.5;4.718;1.9;PERGAMINO SECO
5;ANTIOQUIA;5361;ITUANGO;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;2.586;2.3;3.716;1.6;PERGAMINO SECO
5;ANTIOQUIA;5125;CAICEDO;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;2.354;2.2;4.028;1.9;PERGAMINO SECO
5;ANTIOQUIA;5282;FREDONIA;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;2.346;1.7;2.163;1.3;PERGAMINO SECO
5;ANTIOQUIA;5364;JARDIN;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;2.305;1.8;2.325;1.3;PERGAMINO SECO
5;ANTIOQUIA;5756;SONSON;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;2.293;1.9;2.663;1.4;PERGAMINO SECO
5;ANTIOQUIA;5042;SANTAFE DE ANTIOQUIA;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;2.172;1.9;2.569;1.4;PERGAMINO SECO
5;ANTIOQUIA;5679;SANTA BARBARA;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;2.169;1.8;1.989;1.1;PERGAMINO SECO
5;ANTIOQUIA;5138;CAÑASGORDAS;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;2.066;1.8;2.723;1.6;PERGAMINO SECO
5;ANTIOQUIA;5044;ANZA;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;1.923;1.6;2.553;1.6;PERGAMINO SECO
5;ANTIOQUIA;524;EBEJICO;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;1.901;1.7;1.569;0.9;PERGAMINO SECO
5;ANTIOQUIA;5031;AMALFI;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;1.894;1.6;1.212;0.8;PERGAMINO SECO
5;ANTIOQUIA;5789;TAMESIS;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;1.788;1.5;1.69;1.1;PERGAMINO SECO
5;ANTIOQUIA;5628;SABANALARGA;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;1.737;1.6;2.979;1.9;PERGAMINO SECO
5;ANTIOQUIA;5411;LIBORINA;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;1.685;1.5;2.309;1.6;PERGAMINO SECO
5;ANTIOQUIA;5234;DABEIBA;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;1.673;1.5;2.005;1.4;PERGAMINO SECO
5;ANTIOQUIA;5576;PUEBLO RICO;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;1.61;1.2;1.704;1.5;PERGAMINO SECO
5;ANTIOQUIA;5467;MONTEBELLO;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;1.608;1.3;1.215;0.9;PERGAMINO SECO
5;ANTIOQUIA;5483;NARIÑO;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;1.501;1.4;2.008;1.5;PERGAMINO SECO
5;ANTIOQUIA;5543;PEQUE;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;1.435;1.3;2.09;1.6;PERGAMINO SECO
5;ANTIOQUIA;5368;JERICO;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;1.433;1.2;1.535;1.3;PERGAMINO SECO
5;ANTIOQUIA;567;SAN ROQUE;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;1.389;1.2;1.059;0.9;PERGAMINO SECO
5;ANTIOQUIA;589;YOLOMBO;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;1.354;1.2;1.19;1;PERGAMINO SECO
5;ANTIOQUIA;5055;ARGELIA;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;1.271;1.1;2.028;1.9;PERGAMINO SECO
5;ANTIOQUIA;5647;SAN ANDRES;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;1.171;1.0;900;0.9;PERGAMINO SECO
5;ANTIOQUIA;5353;HISPANIA;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;1.115;851.0;1.284;1.5;PERGAMINO SECO
5;ANTIOQUIA;5761;SOPETRAN;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;1.111;989.0;1.364;1.4;PERGAMINO SECO
5;ANTIOQUIA;569;SANTO DOMINGO;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;1.092;983.0;1.102;1.1;PERGAMINO SECO
5;ANTIOQUIA;5079;BARBOSA;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;1.062;963.0;1.796;1.9;PERGAMINO SECO
5;ANTIOQUIA;5847;URRAO;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;1.055;882.0;912;1;PERGAMINO SECO
5;ANTIOQUIA;5792;TARSO;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;982;751.0;971;1.3;PERGAMINO SECO
5;ANTIOQUIA;5113;BURITICA;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;936;861.0;964;1.1;PERGAMINO SECO
5;ANTIOQUIA;5819;TOLEDO;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;929;727.0;877;1.2;PERGAMINO SECO
5;ANTIOQUIA;5347;HELICONIA;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;882;767.0;1.43;1.9;PERGAMINO SECO
5;ANTIOQUIA;5038;ANGOSTURA;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;812;684.0;1.179;1.7;PERGAMINO SECO
5;ANTIOQUIA;5667;SAN RAFAEL;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;806;659.0;409;0.6;PERGAMINO SECO
5;ANTIOQUIA;5649;SAN CARLOS;OTROS PERMANENTES;CAFE;CAFE;CAFE;10,020,101;COFFEA ARABICA;2018;800;665.0;1.24;1.9;PERGAMINO SECO
